,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
0,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
1,Product Manager,4.0,Moderate energy and unclear goals. Stable but hard to advance the career.,"Most people here are looking for a stable salary and mediocre life, rarely pursuing excellence, which the organization's values clearly state. ",,,,,,,
2,promotor de ventas,4.0,Ambiente de trabajo competitivo ,"Buenas comisiones, ambiente competitivos, capacitación constante ","Capacitación constante, bonos por resultados, obsequios por ventas",Horarios durante mayor parte del día,3,5,4,3,4
3,Promotor vendedor Informática,5.0,Ambiente de trabajo divertido.,"Desde que trabaje en Asus, he aprendido mucho más en el mundo de la informática, Atender al cliente y ver las necesidades que busca de un ordenador más aún... com ASUS se aprende mucho más en las formaciones, aparte de otras formaciones q te brinda Google/Microsoft para seguir alimentándose.",Todo positivo.,"Que a veces por falta de componentes, se tarda en recibir pedidos.",5,5,5,5,5
4,Logistiek operator,2.0,Wisselend. ,Alhoewel ik niet 8 slechte jaren heb gehad ben ik blij dat ik er niet meer werk. Het peoplemanagement is gewoon te slecht voor woorden. Er word gekeken aar werkzaamheden en niet naar de persoon. Het is vriendjes politiek wat er heerst. Verkeerde mensen op de verkeerde positie.,,,1,1,1,1,1
5,Mobile Brand Promoter,5.0,Productive,Working in asus is great. Because we have a monthly training there so they teach us very well to achieved our monthly quota and they teach us the specifications of phone when they have a new zenfone to launch.,,,5,5,5,5,5
6,asesora comercial,5.0,Es una excelente empresa  se podría recomendar en todas las características,"Lo bueno es q tienen un buen salario y solo lo q tienes q hacer es vender aparte sus directivos están siempre para lo q necesites , ayuda mucho la marca para vender pues es una de las empresas q el cliente apetece más ",Salario,Se trabajan domingos,5,5,5,5,5
7,Atención al cliente,3.0,Pesimo,Desde unprincipio trabajar para Asus mediante Intelcia fue una pesadilla. Primero me dicen una fecha de inicio y al poco se altera y me hacen llevar a cabo la formacion a la vez que llevaba a cabo mi anterior trabajo.,Por otro lado solicito al no tener suficientes conocimientos informaticos formacion extra no me la dan,,5,5,1,1,1
8,Sales Expert,5.0,cool,"Friendly, friendly, warm and respectful work environment for each other and customers and service users",,,4,4,4,4,5
9,promotor de ventas,1.0,pesimo,no lo recomiendo la verdad son pesimos y no respetan horarios pagan mal y nunca pagan puntual,,,1,1,1,1,1
10,Marketing Intern/Assistant,5.0,Productive and Innovative Workplace,I learned a lot here during my internship. My boss always challenges gives me challenges that makes it more productive. Also got to meet famous celebrities and their sponsors so overall it was a fun and amazing experience,Events Marketing,None i can think of,5,5,5,5,5
11,Consultor de Vendas,5.0,"Empresa boa de se trabalhar, lá me deparei com grandes líderes e muit aprendizado.","Empresa poderia investir mais na região Nordeste, aqui temos pessoas capacitadas e com grandr perfil para com a empresa. Uma pena que o projeto acabou breve é a pandemia também atrapalhou com o fim do projeto na cidade de Fortaleza Ceará.",Benefícios.,Salário baixo.,4,5,3,4,5
12,BRAND AMBASSADOR-PSA AGENCY,5.0,i was feeling great,i really enjoy when the time that i've work in asus company i learned a lot of things. like how to handle a different types of persons and specialy how to handle yourself when you got stressed !!!,,,5,5,5,5,5
13,asesor de ventas,5.0,buen ambientes,"me gusto mucho la experiencia , me gustaria poder volver ha estar ahi",,,4,4,3,5,4
14,機構工程師,4.0,工作職務,由於我是剛畢業進去職場的新鮮人,在這職務中學習到許多關於機構設計 模具設計 以及動件組裝的精華,對於未來我想在這個職位上有更精進的學習,4,4,4,3,3
15,Mobile Computing Software Specialist,3.0,There are all nice people here.,My colleague is all really nice to help each other., ,The most enjoyable part of the job is team member can sit together,3,3,3,3,3
16,Logistiek operator,3.0,Tegenvaller,Het werk is niet zwaar en niet vervelend!,De juiste mensen zitten op de verkeerde functies en er word niet naar personeel gekeken alleen naar targets en fouten,,3,2,1,1,1
17,Satış Temsilcisi,4.0,Kaliteli,Üretim kalitesi ve marka değeri oldukça iyi bir firma.,,,3,4,3,3,3
18,PC,3.0,เป็นสถานที่ที่ค่อนข้างวุ่นวาย พอสมควร,ในการทำงานในแต่ละวัน จะต้องเจอคนที่โอเคเข้ากันได้กับทุกคน บ้าง ก็เจอคนไม่ดีที่ไม่ค่อยสามารถร่วมงานกับบุคคลอื่นได้,,,2,3,3,3,3
19,Accouting Supervisor,5.0,accounting,"it was very good, high salary but too much work, i was accountant but i worked as human resources too",,,5,5,5,5,5
20,Marketing Coordinator,1.0,Working environment need improvement in many terms,- learnt a lot from my peers and especially my trainer,          Professional manners,          Proceeding towards the main mission instead of eluding the codes of conduct and marginal issues,1,2,1,1,1
21,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
22,Technischer Support Spezialist,4.0,Guter Arbeitgeber,"Habe viele Jahre dort gearbeitet und war durchweg zufrieden. Geregelte Arbeitszeiten, gute Bezahlung, nette Kollegen","Jobsicherheit, feste Arbeitszeiten",Kommunikationswege manchmal etwas lang,4,4,4,3,3
23,logistiek medewerker,3.0,Allround magazijn medewerker,Leuk bedrijf om te werken veel afwisseling leuke collega's,,,0,0,0,0,0
24,Supervisor and Senior Sales Agent Customer Service,5.0,Crecimiento laboral,"El crecimiento laboral es accesible y el ambiente es armónico. La administración es buena, y como todo, con áreas de oportunidad que se pulen día a día.",Crecimiento laboral,Salario,5,3,5,4,5
25,asesor de ventas en equipo de computo,5.0,es un buen empleo,"esta muy bien, tanto el ambiente como el trabajo y son amables",buenas comiciones,,,,,,
26,Technician L2,5.0,"Good team and work place, best workplace i had and still have.","Management is nice, team is involved and really friendly, you make friend for life really fast.",,,4,4,5,5,5
27,Gitex Promoter,3.0,Average,"Was a Gitex promoter for the year 2017, the team managing the promoters were a mixed bag of good polite and rude people but in the end it was an average experience.",Interaction with new people,Long tirng hours,2,2,3,2,4
28,Associate Director (Product Manager),3.0,Good for learning,"You can learn lots of things in ASUS. But after several years, you're able to find a better job in other companys. Suggest not working for this company too long, not worth working there over 5 years. ","I'd worked for ASUS over 8 years, and now I can earn almost twice yearly salary (180 --> 300+). Not to mention stable monthly salary (stable cash flow) is up to third times more than what I earned in ASUS.",,2,1,2,3,3
29,Vendeur,5.0,Très bien,Environnement de travail très bon. Les produits vendus sont à la hauteur de la demande client.,,,0,0,0,0,0
30,Volunteer at Good Time Dinner,5.0,great,I helped prepare the dinner for those who need help. I gain the communication and working in the fast pace skill. At the same time I met new people. Fine experience overall,,,5,5,5,5,5
31,"Photographer, Video editor",5.0,Fun,"I have grown and learnt  a lot, met relevant people. Overall the company is organized and they take care of their employees. Even though I was freelancing but it felt like I'm part of the company",Less working hours,Less salary,5,3,5,5,5
32,Technical Support,5.0,Productive,"Asus is an amazing company .i would love to work with them again.i was one of their over the phone tech engineer.handling motherboards, Routers etc.if given another chance i would be more than happy to work with them again.",Perks,Long hours with customers who arent te h savy,4,4,4,4,4
33,Mechanical Associate Director,4.0,工作環境良好,Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,4,4,4,4,4
34,Technical Support,5.0,Stressful but fun,"Tense and stressful job especially when dealing with techie clients, but with regards to the environment in the office, the management is fairly nice and approachable.",,,3,4,5,4,3
35,專業副理,4.0,只會評量工程師,只有工程師有把事情做好或做壞，能力優劣的區別，但只要升上管理職，就不會因為管理能力缺乏而影響工作績效，因為最後結果肯定是工程師做的不好造成的，絕不會是管理有問題更不會評量管理職的專業能力,,,4,4,3,2,2
36,Merchandiser / Promoter,4.0,Nice Office Environment to work with,It is a wel known brand specially for gaming pc's and laptops. One of the most trusted brand for a heavy use applications and games. They are well known for their durability and stability of their products.,Free Yearly Ticket,No Bonus and Incentives,4,4,4,4,3
37,"Director, Retail Channel, National Accounts",4.0,Cutting edge technology keeps the job interesting,"They pay well, train, and take care of the employees.  They run the American company like a Chinese company and there are some cultural differences that are awkward, but if you look past those you will be fine.",Good pay,Not very flexible,4,5,4,5,3
38,Manager,2.0,"Long work hour, low compensation",Too much work. Doesn't respect employees personal life.,,,1,1,3,2,2
39,"Country Product Manager, MEA",3.0,middle company,"I would say ASUS is good. However, if you are looking for a company with good compensation and work-life balance, then ASUS may not be a good fit for you.",Big company,Work life balance,3,3,3,3,3
40,Promotor de Merchandising,5.0,Empresa agradável de trabalhar,Super indico!,,Não há possibilidade de crescimento,5,5,5,5,5
41,Marketing Specialist,3.0,Good for beginner,A good place for freshman or beginner to learn but not a nurturing place for professionals who already have 3-4 years of experience.,"Terrible work/life balance, if you want to work at this company, you have to be ready to sacrifice your personal time at any days or any times since the workload is quite overwhelming and intense most of the time  ", ,2,3,3,3,2
42,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
43,Sales Representative,5.0,Productive and fun working with a team,"I just work with them for 8 days in Gitex, it’s was fun working with them in a team basis, all the employees are kind and cooperate very well. Timing was a bit long.","Free lunch, and evening snakes",Long hour for I’m 11:00am to 11:00pm,5,5,5,5,5
44,專案管理師,4.0,福利制度好，但工作分配極度不平均,福利很實在，但工作分配太兩極化，有著極度忙碌無法使用到福利之人，也有十分悠閒充分享受福利之人，但薪水並無多少差異,福利制度完善,工作分配不均,3,5,3,3,3
45,VISUAL MERCHANDISER,5.0,Ambiente de trabajo abierto,"Ambiente laboral  flexible, crecimiento de la empresa en mercado Mexicano. Una excelente dirección estratégica sobre el target a desarrollar.",,,3,3,5,4,4
46,專案主任,3.0,勞逸不均情緒化管理,人治多無法治,,,,,,,
47,Showroom Incharge,5.0,"Rich in culture ,suitable platform for personal and proffessional growth","SUS is a Taiwan-based, multinational computer hardware and consumer electronics company that was established in 1989. Dedicated to creating products for today’s and tomorrow’s smart life, ASUS is the world’s No. 1 motherboard and gaming brand as well as a top-three consumer notebook vendor.",,,4,4,4,4,5
48,產品工程師,4.0,"公司福利好, 工作環境優良, 同事都很優秀","同事都很優秀, 互相幫忙是一個team 的感覺, 但是老闆很愛員工加班, 平均下班時間是九點, 沒時間好好生活","公司福利好, 工作環境優良, 同事都很優秀","超時工作, 主管思維僵化認為加班才是認真工作",4,3,3,2,2
49,Müşteri Temsilcisi,5.0,Sıcak arkadaş ortamı mevcut,Herhangi bir sıkıntı olmadan huzur ile  çalışabileceğiniz nadir yerlerden biri.,"Oldukça eğlenceli güzel bir ortamı var, öğle yemekleri ücretsiz ve sağlıklı.",çok rahatsız edici yönü pek yok,5,4,5,4,4
50,產品經理,5.0,工作環境良好,"年輕不懂事不懂珍惜, 滾一圈發現此公司其實相當的以員工為本, 福利薪資均優, 公司經營方向正派, 好公司來的",,,2,5,5,4,2
51,高級工程師,4.0,工作福利好,工作環境好 福利佳 也能在工作中與同事教學相長 ,試試看能否再更上一層樓,,4,4,3,3,3
52,Sales Administrator,4.0,Productive,"-Managed electronic orders in Italy, totaling of $72M per quarter.",-Ensured customer payments and credit limits which total $75M.,"-Maximized shipping container utility to save on shipping costs, decreasing costs by 10% in six months.",4,5,4,4,3
53,工程師,4.0,有時很操，月薪低,有時很操，那段時間需要經常性加班。分紅越來越少，月薪比業界還低很多。,,,,,,,
54,Fresher,5.0,Na,Amazing experience !!!                ,Alot to learn,Very humble,5,5,5,5,5
55,Executive,5.0,It hub,Asus is the company which let me explore the technology in a different way  in working environment really happy with the built up and strong communication which I have made with the help of my company,,,5,5,5,5,5
56,高級軟體研發工程師,5.0,環境/同事都很好,工作生活平衡,假也很好請,新鮮人進來可以學到東西,5,5,4,4,5
57,PM,5.0,coordinate teammember to reach projects goal,Typical day work at ASUS,-coordinate with RD/CSC/Supplier/Factory to close project issues.(usually cause from production/design/material),"-evaluate the issue impact(schedule/cost/scpoe) & tracking implement time,",3,4,4,4,4
58,Executive - Technical Support,5.0,Learn new knowledge everyday,"Facing new issues, challenges, irate customers everyday. However, it's all about learning and experiencing. The working environment and colleagues are friendly.",,,4,1,5,4,4
59,Kontrolor kvality,3.0,"Prace nenáročná,ale stereotypni.","Asi je jedno jakou máte kvalifikaci či dosažené vzdělání.Hlavne,že nemáte levé ruce.",,,4,4,4,3,3
60,Senior Software Engineer,4.0,Working experience,"New employee training is solid, and I met good team member to co-work and create the great product,  it let me learn many things, I have a good time in Asus.","Good co-worker, Benefits",Management style,4,3,3,4,3
61,Electronics Spain Sales Director,4.0,Good school,It was a good experience to work in an Asian company.. Great school!,Great people. Great colleagues..,I will definitely do it again!,4,4,4,4,3
62,作業員,5.0,工作氣氛融洽,"ASUS是非常有制度化的公司, 重視員工的教育及訓練, 領導者的見地帶動讓所有各階層都能成長, 也因此公司整體快速提升,打下好的基礎, 創立優質品牌立足不敗之地,主管帶人也帶心,讓大家都有共識一同努力 ,一同分享成果.","工作中最困難的是面對研發新產品, 就是要重新摸索新的作法, 這不免要有專業的規劃流程,才能有好的品質和效率, 所有同仁都齊心齊力,配合上司方向, 讓新產品快速定位,足以提升市場競爭力.",,5,5,5,5,5
63,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
64,Warehouse medewerker,2.0,respect zoeken met een lampje,alle dagen het zelfde werk  weinig tot geen uitdaging,aanschaf schoenen,,,,,,
65,Customer Support,4.0,Great working experience!!,"I can't really complain, I was overworked, but they will do whatever they can to help you.  Working with irate customers was the only real negative thing about the job.  People, there are some good and some bad, but every place has it!","Promotion opportunities, they reward hard workers!","Working with irate customers, broken process, but that was in the past",4,3,4,3,4
66,Computer Repair Technician,4.0,working experience,"What I learned and what I did in Asus were all related about fixing computer, but also how to manage the limited time to get a maximum benefits. I really have a good time in Asus.",,,4,3,4,4,4
67,Customer Loyalty Representative,3.0,ok company party's,company partys were ok. they slowly started getting worse as the years passed. i was lucky to move up in the company. but raises were not all that. bonus's were ok.,holiday parties,managment,3,3,2,2,2
68,Assistant,3.0,Fun and i've learned a lot,I've learned a lot about fixing or you can say reworking cellphones and also I've learned about software updates. well at first it's easy but you need to fix 15.000 phones and finish it within 2 weeks but everything is worth it.,,,3,2,3,3,3
69,Asesor Senior,4.0,Capacitaciones muy buenas,Capacitaciones con herramientas utiles para el ambito laboral.,BONOS,SUELDO BASE,4,4,4,4,4
70,"Country Product Manager (Thailand, Philippines)",5.0,Great company,1. Complete know-how and coaching style.,"3. Overloaded, but package is ok.",4. A good company for people who is ambitious about career.,3,4,4,4,4
71,assistant operator in taiwan,4.0,fun work place and workmates,"i enjoyed a lot with different culture,,,,,,miscommunication at first but in the long run were happysatisfied with my salary in this company ,benefits is satisfied also",free meal while at work,long hours work time,5,5,3,4,3
72,Sales Manager,1.0,Awful management,The worst ever job that I have been.,They told me they would give bad references about me because I decided to leave the job and move a another country/,,2,2,4,1,1
73,Machine Operator/Assembler/ labourer,5.0,productive and fun,I am in the Night shift. I learned a lot and grow in my experienced. I learned how to work with team work. We have a great Company and we enjoyed working caused they gave everything we deserved as an employees.,"free launch, dinner, breakfast and other things",some overtime,3,5,5,5,3
74,Promotor de Vendas e Merchandising,3.0,Empresa agradavel de se rabalhar,Empresa com uma equipe extremamente capacitada e com alto nível de conhecimento técnico. E com um produto agradável de se trabalhar.,Salario inicialmente satisfatorio,Vale Refeição muito pouco e vale transporte muito baixo,4,3,0,3,3
75,Especialista Senior,5.0,Buen trabajo para aprender,Es una buena marca de computo para aprender sobre tecnología y sobresalir ya que lleva esfuerzo vender el producto,Sueldo,Malisima Administracion de la Empresa,3,4,1,1,5
76,Product Specialist and demonstrator,5.0,Enjoyed working,"Love to drive to different areas and meet new people and enjoy my job , this is fun and amazing really love It every day. the hardest park of the job was to write feed backs at the end of the day taking pictures as park of the feedback and sending this to the head office.","excellent pay, no pressur. never got bored of working.","No progression prospect in my area, however been told if i could move to London might be possible.",5,5,3,0,4
77,Service Specialist,5.0,Senior-level customer service and marketing communication,"Senior-level in sales, marketing, trades, communication, advising, evaluation, IT, and personal training.",,,,,,,
78,QC engineer,5.0,有名的台湾公司，产品品质不错，但员工待遇不好,ASUS的产品很有名气，台湾人公司，管理也很标准化接近军事化，,,标准化的管理,2,3,3,4,4
