,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
0,技術員,4.0,工作環境雖然緊張高度壓力，但仍為工作目標前進。薪資福利很棒環境也很棒~,深呼吸睡飽展開一天的忙碌，充滿高壓環境的工作，面對周圍都是優秀分子的環境，總會緊張但充滿期待工作會生的新奇事~,,,,,,,
1,Design Engineer,5.0,productive work place,"working hours are fine. Managers are friendly and teammates are easy to get along with. sometimes, we have night meetings. meanwhile, sometimes you need to work with teammates in headquarter. overall, it is a great company",,,0,0,0,0,0
2,Process Engineer,2.0,Stressful and long work hours,long work hours (12-14 hrs per day),"toxic work environment, promotions based on social relationship with management, not on actual performance.",,1,4,5,3,3
3,Process Engineer,1.0,Very Toxic Atmosphere to Work,"Pay and benefit might be good but doesn’t worth a job content and dealing with a very toxic culture. Mandarin speakers may have easier times in this company. But it can be very hard to work here for non-Chinese speakers. If you have a better offer in different company, don’t take this job. ",,,1,3,1,1,1
4,Administrative Assistant,1.0,Company culture could use help ,"From the top down you are expected to work hard long hours and not efficiently. Inefficiency and appearing to work hard is rewarded over making things easier and doing what makes sense. In office rivalries and weekly power plays, gossip, and non stop drama made things quite tense. ",Decent pay,Culture,2,3,2,1,1
5,Senior Process Engineer,3.0,"stressful, political, lot of meaningless meeting",You basically spend 60%-70% of your time dealing with annoying highlights from other departments like QA/PID even other modules.,Overtime working is must. , ,1,3,4,3,2
6,Engineer,1.0,1 star,What is the best part of working at the company?,,What is the most stressful part about working at the company?,0,0,0,0,0
7,Senior EHS  Manager,1.0,Meat Grinder,"Back stabbing and secret keeping, the standard. Oil and gas people trying to do their best but not listening to construction professionals. They just get people to show up and add to the confusion. ",,,1,2,1,1,1
8,AMHS technician,1.0,Awful work environment.,"Where to begin, I supposed how the offer letter you digned is completely invalid and aren't even paid according to any numbers that you may have on the letter. The shifts aren't even correct as the letter states the numbers have built in over time for the days and night shift. That doesn't exist. The lack of acknowledgement from the company on lying to any employee that was hired under the false pretense of the offer letter is baffling. I was sent out for AMHS for advanced training, sounds great but for 5 months we have done nothing but sit at a desk with no hands on learning the same power points we learned in about a week. Training schedule is non existent. Sometimes we go into the fab to train but aren't able to touch any tools due to fab 18 being production. Many times different solutions have been voiced for a different training regimen that could benefit all in taiwan for training. Unfortunately the management do not care about the solutions. If you join this company you better have read you offer letter and then act like it doesn't exist. Good luck. ",,,1,1,1,1,1
9,Manufacturing Engineer,4.0,"High paid in Taiwan, but it's pretty tired","The pay is really good compared with other companies. Many people think that TSMC is their dream company in Taiwan. However, the work/life balance is very poor here.",,,3,4,4,4,3
10,Process Engineer,3.0,"Good salary, bad work life balance","The pay is really good compared with other company. Lots pf people consider TSMC as their dream company in taiwan. However, the work/life balance is very poor here.",,,3,3,3,3,3
