,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
0,專任行政助理,3.0,慎選老闆,慣老闆不分國籍，行政人員沒有行政擔當，把責任推給約聘助理的狀況依然嚴重。,長官貌似尊重學術倫理，私底下派系鬥爭嚴重。,,2,3,2,1,3
1,研究員,1.0,中研院知法枉法，已被奧客藉群體霸凌福佬人而壟斷所有職缺。,奧客毒蛤蟆賣台集團的歪嘴李自1989年經國先生逝世而上台後，也叫一個姓李的學界政客利用可能買來的諾貝爾獎光環，霸佔中研院的國家名器，任用私人，圖利自己，更把持國家的司法檢調人員成為奧客私有的東廠錦衣衛；自福佬客騙子真隨便假綠營的本土殼上台後，更毫不遮掩的進行對非客族群的政治迫害，恣意剝奪中華民國憲法對所有國民財產權和工作權的法律保障，視法律如同糞土。真隨便因貪瀆而被外省的高級紅色貴賓狗馬鷹狗關進大牢後，奧客毒蛤蟆賣台集團更勾結以叛國叛黨又叛蔣的馬鷹狗出賣國家利益，藉選舉的政黨補助款掏空國家財政，以表面上的「政黨輪替」進行「兩黨分贓」（其實並非藍綠兩黨，而只是極少數的奧客毒蛤蟆賣臺集團的高級奧客毒蛤蟆，勾結高級外省人的紅色貴賓狗湖南匪幫的共匪走狗而已）公然詐欺所有國人。奧客毒蛤蟆賣台集團恐怕不只豬鼻假菜真髒偽造博士學歷而已，而是藉中國國民黨內那些叛國叛黨又叛蔣的反骨仔如馬鷹狗之流的親匪媚匪，鞏固在中華民國的權勢，出賣兩蔣所矢志照顧的中國之主，而中央研究院正是這群匪徒集體分贓的養老院，或者，稱為精神病院的匪窟應該更貼切！,無,把奴才當人才；把人才當奴才！所有非客族群都不是人，只有高級外省人親匪投匪的湖南匪幫的紅色貴賓狗才是「學者」，噁心加無恥到極點！,1,1,1,1,1
2,台灣頂級外約+賴85PO吃魚*喝茶*約炮*一夜情*交友*找鐘點情人點擊論壇：www.lg5221.com,5.0,台灣頂級外約+賴85PO吃魚*喝茶*約炮*一夜情*交友*找鐘點情人點擊論壇：www.lg5221.com,台灣頂級外約+賴85PO吃魚*喝茶*約炮*一夜情*交友*找鐘點情人點擊論壇：www.lg5221.com,【Telegram：bj5221】,【官網：lg5221.com】,5,5,5,5,5
3,面訪員,5.0,學習如何解決問題,工作中教會我如何解決問題，遇見困難應該如何面對，使我的視野更寬廣，看的更遠，更了解自己，如何過我自己的人生，,,,5,3,1,1,1
4,课题负责人、项目经理、高级科研员,3.0,工作环境轻松,工作环境好，娱乐实施齐全，餐厅伙食好，薪酬一般，企业发展方向还在摸索中。员工年轻化，但升职通道一般，建议女性朋友可去。,,,0,0,0,0,0
5,約聘人員,5.0,工作環境佳,位於台北市南港區，工作環境清幽，適合專心執行手邊工作；主管讓屬下有所發揮，並充分溝通；公務機關，待遇比照辦理。,,,5,4,4,4,4
6,研究助理,4.0,每個院所的工作都不相同,所處單位為大型田野調查工作，需每月出差3週或以上，從到抽樣地的住宿、尋找個案完成訪視工作、資料鍵入到體檢只能靠自己，是一個可以提升生活技能、溝通技巧及抗壓性的工作。,,每個月都可以到各地出差遊玩,4,4,2,2,3
7,Data Scientist and Scrum Master,3.0,日漸缺乏活力,畢竟是公家機關和學術單位，專注在基礎研究，社會責任在知識產出與傳達，因此比較不在意提升工作整體合作效率的方法。凡事都有正反兩面，另一面則是比較少利害關係的糾葛。,淳樸,晉升和薪資需要考量,4,3,2,3,3
8,約聘工程師,1.0,環境只有惡鬥而已,國家的財政都被浪費在這群活在象牙塔內的生活白癡當中，研究員中有貢獻的人根本非要了無幾，多的是米蟲。很糟糕的一個地方,主管都很會打太極,環境封閉過於安逸,1,1,1,1,1
9,面訪員,5.0,工作採責任制，時間自由,因為我們只是臨時人員，並不是中央研究院內的正式員工，只是院內如果有計劃就會通知我們，如果做的好，下次有計劃就會通知，如果做的不好，就沒有下一次了喔！,時間彈性,沒有保障,4,4,1,1,1
10,研究助理,5.0,工作環境好,．一天工作內容約為協助研究計畫進行、操作並維護計劃或實驗相關的設備與儀器、協助資料收集和資料分析、實驗操作、植物種植,,,,,,,
11,研究助理,4.0,具挑戰性,參與新計畫的話相對的有挑戰性，不過一但參與時間過長，有可能會發展成非常常規的事項，會比較無聊。,,,,,,,
12,研究助理,4.0,工作環境良好,儀器、設備均齊全，研究風氣積極且正向，研究人員氣氛融洽，樂於群體討論研究問題。,,,,,,,
13,專任助理,5.0,工作環境好,習得職場上的基本技能,工作中最有趣的事情是可以和教授與同事們討論時事並進行數據分析,,5,5,4,4,3
