,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
0,副理,5.0,注重文化與實力,這個企業個人表現跟職場人際很重要，工作或許很一般但企業裡很開放，只要你有好點子，您的上司願意拉你一把，公司決對支持自己內部人員但要知道我說的第一句話。,統一企業猶如金字招牌，企業倫理文化最落實的公司，目前市場上，前百大中最穩定成長的公司,如果押錯寶跟錯人很難有機會昇官,4,4,3,4,4
1,店員,3.0,工作環境好,員工好老闆好工作環境的好有東西可以客戶對人好有貓狗狗薪金好不會無聊,,,,,,,
2,店員,5.0,每天要應付客人,統一工作雖然累每天都要學習很多新的事物可是學到了就是自己的了 每天都在忙碌中時間就會過得很快也忙得很充實,,,5,5,5,5,5
3,7-11,5.0,我學到了什麼,喜歡與人接觸，喜歡與同事之間互相合作，也有業績競爭。,,,,,,,
4,員工,3.0,工作環境,工作環境不差,但是當碰到素質不好的客人就真的很有罪受了 ,上層也都以客人為尊有的時候搞到員工很難做人,4,3,2,3,5
5,收銀員,4.0,薪水太少,在工作上很開心，可是薪水與工作達不到平衡，薪資太少，收入不穩定，只好離職尋求更好的發展，適合求學中的孩子，不適合出社會的大人,,,5,1,1,1,4
6,物流士,3.0,同事好相處、即使工作勞累、也能做的很愉快,同事好相處、即使工作勞累、也能做的很愉快、雖然常加班、但相對能反應在薪水的多寡上、較不會有加班多但錢不多的情況。,可以見到不同人事物,常加班,3,3,3,4,4
7,門市服務人員,5.0,多方學習,在這家門市學習到太多的東西，也因為們是在工業區哩，所以外籍勞工也相當的多，在台灣的超商裡頭與顧客溝通是最重要的，進到店裡都是顧客，都理應當被尊重，無論是來自哪個國家，外籍移工最大的劣勢就是不擅長使用中文與我們溝通，但是至少他們聽得懂些微的英文，於是用英文溝通也成為了我在門市裡最大的罩門，也為門市提高了些微商機，但也礙於加盟經常遊走法律邊緣，對員工來說也相當的吃 虧,能夠讓員工依照自己的行事風格來玩上司交辦之事項,台灣的奧客風氣,4,3,3,3,4
8,陳列員,5.0,工作單純,在職期間單位主管帶領認真且負責，在工讀期間在主管帶領下工作很快上手常受表揚還常領到蠻優沃評比獎金，在統一企業的工讀期間生活充實。,薪資待遇很好,舟車勞頓但可克服,5,4,3,4,3
9,統一超商店員(工讀),4.0,工作環境不錯，老闆對待員工的權益、福利都很照顧、周全,•在這邊我學會了一件精神，想做就用心做，老闆不是花錢請員工製造麻煩做虧本的生意，碰上問題要試著去面對解決。,•超商最有趣的事也是客人，跟客人搏感情，認識客人變熟客推銷商品，為自己的門市拉業績賺取獎金。,,4,3,3,4,3
10,7-11正職人員,5.0,工作環境,從電子業跳脫的第一份工作,比較不同的是要面對各種族群,但對我來說就像是種學習跟挑戰,4,5,5,4,4
11,大夜值班經理,5.0,工作環境好,因門市差異 工作量平衡有待改進,造成工作量大幅增加 ,但因部分加盟門市業績成長率低於預期 ,4,4,5,5,5
12,作業員,4.0,制度健全,公司雖為百大企業，但對於女性員工來說毫無升遷機會，員工文化素養很差，公司對勞工的付出並不重視，導致很多勞工身體狀況變差,加薪少,經常超時加班，休假天數太少,4,5,3,3,2
13,現場線上包裝作業員,5.0,工作穩定,之前高職畢業就在統一冰品部工作 之後因為總公司需要所以被調到統一企業永康中正路總公司食品一廠,因小孩還小無人照顧所以離職 現在小孩上幼兒園 想找一份穩定薪資的工作,,5,5,5,5,5
14,正職大夜,3.0,客人都很好相處，也跟司機們相處的很融洽,時數超過常常沒給加班費，,就連我教召5天，他們也把它算進我的休假裡面,教召多休的就是看幾天，在扣除幾天的薪資,3,2,2,3,3
15,店員,5.0,福利好,一開始從不會到會，因為有人帶讓我們學的很有成就感所以很快上手，休假時間也排的很好，下班的時間也很準時。這是讓我覺得很好的地方,福利好,,,,,,
